Device,EulerX,EulerY,EulerZ,FreeAccX,FreeAccY,FreeAccZ,Timestamp
D4:22:CD:00:05:6B,-4.3978190422058105,31.21307945251465,-117.59337615966797,-8.5289306640625,2.322092056274414,-2.3694329261779785,713.845353603363
D4:22:CD:00:05:5D,150.09225463867188,-45.74428939819336,-41.65567398071289,19.273555755615234,5.186542510986328,8.719507217407227,713.845353603363
D4:22:CD:00:05:6E,97.2592544555664,-63.6012077331543,28.216033935546875,-4.224322319030762,-13.220426559448242,-5.115543365478516,713.845353603363
D4:22:CD:00:05:5E,-145.3690643310547,-74.30502319335938,-95.18547821044922,-1.404404878616333,-3.4292526245117188,1.2884759902954102,713.845353603363
D4:22:CD:00:49:AA,151.55821228027344,-73.5918197631836,69.24126434326172,-7.002196311950684,-3.42991304397583,7.2611541748046875,713.845353603363
D4:22:CD:00:05:6B,-4.910351276397705,31.516630172729492,-116.69334411621094,-15.074254989624023,0.6228262186050415,-2.5574278831481934,713.8512976169586
D4:22:CD:00:05:5D,151.7177734375,-49.761451721191406,-43.83476638793945,9.511037826538086,-11.14338493347168,-2.7320566177368164,713.8512976169586
D4:22:CD:00:05:6E,101.78440856933594,-63.14932632446289,25.967578887939453,-8.01693344116211,-12.834686279296875,-8.14810562133789,713.8512976169586
D4:22:CD:00:05:5E,-139.44834899902344,-70.2910385131836,-100.73069763183594,-0.6188536882400513,-5.451264381408691,5.487443923950195,713.8512976169586
D4:22:CD:00:49:AA,140.51559448242188,-74.70372009277344,78.14205932617188,-5.80861759185791,-0.8158940076828003,3.380889892578125,713.8512976169586
D4:22:CD:00:05:5D,149.77452087402344,-54.58743667602539,-50.364933013916016,10.550420761108398,-10.139394760131836,6.192190170288086,713.8553442955017
D4:22:CD:00:05:6E,102.47831726074219,-61.1943359375,25.090871810913086,-6.74095344543457,-12.122589111328125,-4.370206832885742,713.8553442955017
D4:22:CD:00:05:5E,-132.8463134765625,-64.88259887695312,-105.46837615966797,-5.914839744567871,-11.374893188476562,7.321340560913086,713.8553442955017
D4:22:CD:00:49:AA,130.68203735351562,-76.76849365234375,87.0246810913086,-1.9946751594543457,3.5344772338867188,-3.009614944458008,713.8553442955017
D4:22:CD:00:05:6B,108.68577575683594,-77.67632293701172,-12.047907829284668,7.588562965393066,-8.637516021728516,31.678447723388672,713.8583364486694
D4:22:CD:00:05:5D,150.6771697998047,-57.273780822753906,-55.26667785644531,1.9675633907318115,-5.26408576965332,2.432893753051758,713.8583364486694
D4:22:CD:00:05:6E,99.333251953125,-56.84068298339844,27.595003128051758,-3.9333229064941406,-12.441268920898438,1.889822006225586,713.8583364486694
D4:22:CD:00:05:5E,-128.97776794433594,-60.36936569213867,-107.74559783935547,-8.466625213623047,-10.521564483642578,-1.7904958724975586,713.8583364486694
D4:22:CD:00:49:AA,128.16604614257812,-77.92504119873047,89.63105010986328,-1.7739615440368652,4.760526657104492,-5.052227020263672,713.8583364486694
D4:22:CD:00:05:6B,-68.45613098144531,-83.05104064941406,136.70860290527344,3.519716739654541,-8.476369857788086,10.435306549072266,713.8613388538361
D4:22:CD:00:05:5D,140.6999053955078,-51.19818115234375,-81.55332946777344,5.387265205383301,-3.2115345001220703,-7.256439208984375,713.8613388538361
D4:22:CD:00:05:6E,110.876220703125,-70.92526245117188,17.85913848876953,-3.640432357788086,-3.9790501594543457,20.932403564453125,713.8613388538361
D4:22:CD:00:05:6B,-66.29191589355469,-84.10438537597656,131.59169006347656,4.121373176574707,-7.773764610290527,3.5868778228759766,713.9187784194946
D4:22:CD:00:05:5D,141.2550048828125,-57.249595642089844,-81.36455535888672,6.168313026428223,-4.310522079467773,-4.270129203796387,713.9187784194946
D4:22:CD:00:05:6E,110.8320083618164,-69.15927124023438,19.161680221557617,-3.3557896614074707,-4.060571670532227,16.641773223876953,713.9187784194946
D4:22:CD:00:05:5E,170.9583740234375,-72.92045593261719,-50.82981872558594,0.3761507272720337,-0.4664953351020813,-0.16993045806884766,713.9187784194946
D4:22:CD:00:49:AA,109.88790130615234,-70.88040924072266,106.89450073242188,-0.7205766439437866,-2.1458516120910645,-3.247316360473633,713.9187784194946
D4:22:CD:00:05:6B,-59.68891525268555,-85.21947479248047,121.49250793457031,3.1023144721984863,-8.383726119995117,-1.05316162109375,713.9488070011139
D4:22:CD:00:05:5D,144.13369750976562,-65.21426391601562,-82.64236450195312,11.136575698852539,-6.326835632324219,1.5331640243530273,713.9488070011139
D4:22:CD:00:05:6E,111.49677276611328,-66.65108489990234,21.592100143432617,-5.163476943969727,-4.5844621658325195,8.319389343261719,713.9488070011139
D4:22:CD:00:05:5E,172.343017578125,-74.8088607788086,-52.22443389892578,0.39072322845458984,-0.591713547706604,-0.5367593765258789,713.9488070011139
D4:22:CD:00:49:AA,113.63867950439453,-65.49039459228516,101.53251647949219,0.08230093121528625,-3.838967800140381,-2.138087272644043,713.9488070011139
D4:22:CD:00:05:6B,-47.09159851074219,-85.35792541503906,105.54052734375,2.831368923187256,-9.759559631347656,-5.576688766479492,713.9787786006927
D4:22:CD:00:05:5D,159.23487854003906,-72.9227294921875,-93.6272201538086,12.216320037841797,0.10846443474292755,6.230537414550781,713.9787786006927
D4:22:CD:00:05:6E,114.54552459716797,-63.3686637878418,21.186349868774414,-8.06895637512207,-7.2755889892578125,4.6314697265625,713.9787786006927
D4:22:CD:00:05:5E,176.53204345703125,-77.89521026611328,-56.901432037353516,0.4509240984916687,-0.5045599937438965,-1.7722158432006836,713.9787786006927
D4:22:CD:00:49:AA,114.34144592285156,-59.43839645385742,99.34486389160156,-0.1705547273159027,-3.344477653503418,0.13623905181884766,713.9787786006927
D4:22:CD:00:05:6B,-35.68324279785156,-83.9345703125,92.62684631347656,2.925191879272461,-12.4951171875,-8.646873474121094,714.0385150909424
